ids,values,parents,label
Biology-Benthos,648,Biology,Benthos
Biology,2007,,Biology
Meteorology,18,,Meteorology
Biology-Fish,272,Biology,Fish
Biology-Plankton,317,Biology,Plankton
Watercomposition,96,,Watercomposition
Watercomposition-Bulkchemistry(e.g.pH,16,Watercomposition,Bulkchemistry(e.g.pH
TCO2),16,,TCO2)
Physical-Hydrography(e.g.T,48,Physical,Hydrography(e.g.T
Physical,43,,Physical
S),46,,S)
Physical-Currents_drift_dispersion_tracers,6,Physical,Currents_drift_dispersion_tracers
Biology-Plankton-Phytoplankton,182,Biology-Plankton,Phytoplankton
NA,106,,NA
Biology-Mammals,50,Biology,Mammals
Biology-Pigments(e.g.chlorophyll),64,Biology,Pigments(e.g.chlorophyll)
Biology-Plankton-Zooplankton,204,Biology-Plankton,Zooplankton
Geology_Geophysics_Sedimentation-Bathymetry_sonarimages,4,Geology_Geophysics_Sedimentation,Bathymetry_sonarimages
Geology_Geophysics_Sedimentation,5,,Geology_Geophysics_Sedimentation
Environmentalquality/pollution-Pollutionlevels&monitoring,38,Environmentalquality/pollution,Pollutionlevels&monitoring
Environmentalquality/pollution,96,,Environmentalquality/pollution
Biology-Invertebrates,396,Biology,Invertebrates
Watercomposition-Suspendedmatter_turbidity,24,Watercomposition,Suspendedmatter_turbidity
Meteorology-Upperairobservations,4,Meteorology,Upperairobservations
Bottomsamples(e.g.core,28,,Bottomsamples(e.g.core
dredge,28,,dredge
grab),28,,grab)
Physical-Underwateracoustics,2,Physical,Underwateracoustics
Fisheries,55,,Fisheries
Biology-Macroalgae,132,Biology,Macroalgae
Biology-Birds,62,Biology,Birds
Watercomposition-Nutrients,56,Watercomposition,Nutrients
Biology-Ecology_biodiversity,680,Biology,Ecology_biodiversity
Biology-Plants,66,Biology,Plants
Watercomposition-Otherinorganicchemistry,16,Watercomposition,Otherinorganicchemistry
Environmentalquality/pollution-Siteassessments/surveys,2,Environmentalquality/pollution,Siteassessments/surveys
Biology-Productivity_biomass,36,Biology,Productivity_biomass
Biology-Organic(&bio_)chemistry,12,Biology,Organic(&bio_)chemistry
Fisheries-Fishstocks/catches/taggings,22,Fisheries,Fishstocks/catches/taggings
Coastalstudies(e.g.shores,94,,Coastalstudies(e.g.shores
estuaries),94,,estuaries)
Geography,14,,Geography
Watercomposition-Dissolvedgases,12,Watercomposition,Dissolvedgases
Boundaries,12,,Boundaries
Biology-Reptiles,20,Biology,Reptiles
S)_nearsurfaceonly,2,,S)_nearsurfaceonly
Physical-Opticalmeasurements,4,Physical,Opticalmeasurements
Physical-Waves_swell,2,Physical,Waves_swell
Fisheries-Exploratoryfishing_gearresearch,2,Fisheries,Exploratoryfishing_gearresearch
Geology_Geophysics_Sedimentation-Sedimenttransport,2,Geology_Geophysics_Sedimentation,Sedimenttransport
Biology-Nekton,6,Biology,Nekton
Fisheries-Aquaculture,6,Fisheries,Aquaculture
